                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7125,                0.68931,                0.63956,                 4.5037,                 1.6759,                0.55648,                0.47167,                 0.3802,                0.26076,                0.68942,                0.55545,                0.62626,                0.57971,                 1.3534,                0.27626,                0.69577,                 1.8559,                 1.1685,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.9368,                 0.5582,                0.61908,                 2.4426,                 1.3108,                0.56547,                    0.5,                0.43187,                0.25592,                0.68434,                  0.625,                0.71194,                0.69833,                 1.6161,                0.28131,                0.69447,                 1.5365,                 1.1913,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.6269,                0.45327,                0.57181,                 1.6039,                 1.1376,                0.62312,                 0.5625,                0.56253,                0.33957,                0.75667,                 0.8125,                0.77994,                0.72057,                 1.3716,                0.27359,                0.69372,                 1.4717,                 1.0932,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.6161,                0.31629,                0.44514,                 1.3384,                 1.2001,                0.70091,                 0.6875,                0.63838,                0.27539,                0.81202,                 0.8101,                0.79948,                0.77137,                 1.5368,                0.24915,                0.66403,                 1.3613,                 1.2222,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.5328,                0.23353,                0.35401,                 1.1986,                 1.0799,                0.76376,                 0.8125,                0.77215,                0.34343,                0.83416,                  0.875,                0.88492,                0.88054,                 1.5452,                0.22011,                0.63595,                 1.2619,                 1.2454,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.4478,                0.19291,                0.27005,                  1.111,                 1.1062,                 0.7878,                0.92854,                 0.8584,                0.46003,                0.84054,                0.98888,                0.92205,                0.90245,                 1.4468,                0.19728,                0.60378,                 1.0659,                 1.1732,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.5234,                0.18238,                0.26361,                 1.2201,                 1.0849,                0.78702,                 0.9244,                0.82476,                0.43898,                0.84008,                0.98559,                0.88904,                0.86522,                 1.4567,                0.18181,                0.57324,                 1.0304,                 1.1555,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.4674,                0.13492,                0.28259,                  1.089,                 1.0669,                0.69671,                  0.875,                0.81508,                0.45269,                0.86365,                 0.7927,                0.85816,                0.85532,                  1.579,                0.17664,                0.52153,                 1.0833,                 1.2349,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.4482,                0.18612,                0.16784,                 1.1065,                 1.0532,                0.69195,                0.84315,                0.73547,                0.38031,                0.76648,                0.82098,                0.88502,                0.85984,                  1.572,                0.17436,                 0.4671,                 1.1881,                 1.3492,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.3789,                 0.1364,                0.12143,                 1.1009,                 1.0527,                0.61378,                 0.8125,                0.71833,                0.39879,                0.73759,                 0.9375,                0.86389,                0.85867,                 1.5602,                0.15997,                0.39969,                 1.2576,                 1.3728,              0.0007105,              0.0007105,              0.0007105
